,Date,Período,Região,Linhagem,Linhagens relevantes,Frequência
425,2021-01,Jan 2021,Norte,B.1.1.348,Outras,2
426,2021-01,Jan 2021,Norte,B.1.1.378,Outras,1
427,2021-01,Jan 2021,Norte,B.1.1.398,Outras,1
428,2021-01,Jan 2021,Norte,B.1.160.25,Outras,2
429,2021-01,Jan 2021,Norte,N.1,Outras,1
430,2021-01,Jan 2021,Norte,N.9,Outras,3
431,2021-01,Jan 2021,Norte,P.1 (Gama),P.1 (Gama),238
432,2021-01,Jan 2021,Norte,P.2,P.2,113
433,2021-01,Jan 2021,Sudeste,B.1.1,B.1.1,3
434,2021-01,Jan 2021,Sudeste,B.1.1.277,Outras,1
435,2021-01,Jan 2021,Sudeste,B.1.1.28,B.1.1.28,78
436,2021-01,Jan 2021,Sudeste,B.1.1.33,B.1.1.33,25
437,2021-01,Jan 2021,Sudeste,B.1.1.332,Outras,2
438,2021-01,Jan 2021,Sudeste,B.1.1.393,Outras,2
439,2021-01,Jan 2021,Sudeste,B.1.1.519,Outras,3
440,2021-01,Jan 2021,Sudeste,B.1.1.7 (Alfa),B.1.1.7 (Alfa),40
441,2021-01,Jan 2021,Sudeste,B.1.177.52,Outras,3
442,2021-01,Jan 2021,Sudeste,B.1.2,Outras,2
443,2021-01,Jan 2021,Sudeste,B.1.221,Outras,1
444,2021-01,Jan 2021,Sudeste,B.1.234,Outras,2
445,2021-01,Jan 2021,Sudeste,N.6,Outras,2
446,2021-01,Jan 2021,Sudeste,N.9,Outras,12
447,2021-01,Jan 2021,Sudeste,P.1 (Gama),P.1 (Gama),61
448,2021-01,Jan 2021,Sudeste,P.2,P.2,345
449,2021-01,Jan 2021,Sudeste,P.7,Outras,5
450,2021-01,Jan 2021,Sul,B.1,Outras,1
451,2021-01,Jan 2021,Sul,B.1.1.28,B.1.1.28,23
452,2021-01,Jan 2021,Sul,B.1.1.33,B.1.1.33,5
453,2021-01,Jan 2021,Sul,B.1.1.7 (Alfa),B.1.1.7 (Alfa),4
454,2021-01,Jan 2021,Sul,B.1.375,Outras,1
455,2021-01,Jan 2021,Sul,B.1.575,Outras,1
456,2021-01,Jan 2021,Sul,C.36,Outras,1
457,2021-01,Jan 2021,Sul,N.5,Outras,1
458,2021-01,Jan 2021,Sul,N.9,Outras,4
459,2021-01,Jan 2021,Sul,P.1 (Gama),P.1 (Gama),27
460,2021-01,Jan 2021,Sul,P.1.3,Outras,1
461,2021-01,Jan 2021,Sul,P.2,P.2,129
462,2021-01,Jan 2021,Sul,P.7,Outras,13
463,2021-02,Fev 2021,Centro-oeste,B.1.1,B.1.1,1
464,2021-02,Fev 2021,Centro-oeste,B.1.1.28,B.1.1.28,5
465,2021-02,Fev 2021,Centro-oeste,B.1.1.376,Outras,1
466,2021-02,Fev 2021,Centro-oeste,B.1.1.7 (Alfa),B.1.1.7 (Alfa),20
467,2021-02,Fev 2021,Centro-oeste,B.1.177.32,Outras,1
468,2021-02,Fev 2021,Centro-oeste,P.1 (Gama),P.1 (Gama),130
469,2021-02,Fev 2021,Centro-oeste,P.2,P.2,56
470,2021-02,Fev 2021,Centro-oeste,P.7,Outras,1
471,2021-02,Fev 2021,Nordeste,B.1.1,B.1.1,9
472,2021-02,Fev 2021,Nordeste,B.1.1.28,B.1.1.28,21
473,2021-02,Fev 2021,Nordeste,B.1.1.33,B.1.1.33,9
474,2021-02,Fev 2021,Nordeste,B.1.1.7 (Alfa),B.1.1.7 (Alfa),6
475,2021-02,Fev 2021,Nordeste,B.1.525 (Eta),Outras,1
476,2021-02,Fev 2021,Nordeste,C.14,Outras,2
477,2021-02,Fev 2021,Nordeste,N.10,Outras,7
478,2021-02,Fev 2021,Nordeste,N.9,Outras,16
479,2021-02,Fev 2021,Nordeste,P.1 (Gama),P.1 (Gama),366
480,2021-02,Fev 2021,Nordeste,P.1.3,Outras,1
481,2021-02,Fev 2021,Nordeste,P.1.7 (Gama),P.1.7 (Gama),2
482,2021-02,Fev 2021,Nordeste,P.2,P.2,153
483,2021-02,Fev 2021,Nordeste,P.7,Outras,5
484,2021-02,Fev 2021,Norte,B.1.1,B.1.1,1
485,2021-02,Fev 2021,Norte,B.1.1.236,Outras,1
486,2021-02,Fev 2021,Norte,B.1.1.28,B.1.1.28,6
487,2021-02,Fev 2021,Norte,B.1.1.333,Outras,1
488,2021-02,Fev 2021,Norte,B.1.1.348,Outras,2
489,2021-02,Fev 2021,Norte,B.1.1.398,Outras,1
490,2021-02,Fev 2021,Norte,N.10,Outras,1
491,2021-02,Fev 2021,Norte,N.9,Outras,1
492,2021-02,Fev 2021,Norte,P.1 (Gama),P.1 (Gama),281
493,2021-02,Fev 2021,Norte,P.1.3,Outras,1
494,2021-02,Fev 2021,Norte,P.2,P.2,41
495,2021-02,Fev 2021,Sudeste,B.1,Outras,4
496,2021-02,Fev 2021,Sudeste,B.1.1,B.1.1,3
497,2021-02,Fev 2021,Sudeste,B.1.1.28,B.1.1.28,70
498,2021-02,Fev 2021,Sudeste,B.1.1.33,B.1.1.33,3
499,2021-02,Fev 2021,Sudeste,B.1.1.332,Outras,3
500,2021-02,Fev 2021,Sudeste,B.1.1.348,Outras,1
501,2021-02,Fev 2021,Sudeste,B.1.1.393,Outras,2
502,2021-02,Fev 2021,Sudeste,B.1.1.519,Outras,1
503,2021-02,Fev 2021,Sudeste,B.1.1.7 (Alfa),B.1.1.7 (Alfa),24
504,2021-02,Fev 2021,Sudeste,B.1.459,Outras,1
505,2021-02,Fev 2021,Sudeste,B.1.566,Outras,1
506,2021-02,Fev 2021,Sudeste,C.37 (Lambda),Outras,2
507,2021-02,Fev 2021,Sudeste,N.9,Outras,6
