Data,Período,Região,Estado,Laboratório,Linhagens relevantes,Quantidade
2020-07-01,Jul 2020,Nordeste,Bahia,Outros,B.1.1.28,21
2020-07-01,Jul 2020,Nordeste,Bahia,Outros,B.1.1.33,13
2020-07-01,Jul 2020,Nordeste,Bahia,Outros,Outras,8
2020-07-01,Jul 2020,Nordeste,Ceará,Outros,B.1.1,1
2020-07-01,Jul 2020,Nordeste,Ceará,Outros,B.1.1.28,1
2020-07-01,Jul 2020,Nordeste,Ceará,Outros,B.1.1.33,2
2020-07-01,Jul 2020,Nordeste,Ceará,Outros,Outras,2
2020-07-01,Jul 2020,Nordeste,Paraíba,FIOCRUZ,B.1.1,1
2020-07-01,Jul 2020,Nordeste,Paraíba,FIOCRUZ,B.1.1.33,1
2020-07-01,Jul 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.1,8
2020-07-01,Jul 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.1.28,4
2020-07-01,Jul 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.1.33,4
2020-07-01,Jul 2020,Nordeste,Pernambuco,Outros,B.1.1,24
2020-07-01,Jul 2020,Nordeste,Pernambuco,Outros,B.1.1.28,5
2020-07-01,Jul 2020,Nordeste,Pernambuco,Outros,B.1.1.33,6
2020-07-01,Jul 2020,Nordeste,Pernambuco,Outros,Outras,1
