,Date,Período,Região,Estado,Variantes,Variantes relevantes,Frequência
629,2021-04,Abr 2021,Sul,Paraná,P.1.3,P.1.3,1
630,2021-04,Abr 2021,Sul,Paraná,P.1.4,P.1.4,2
631,2021-04,Abr 2021,Sul,Paraná,P.1.7,P.1.7,3
632,2021-04,Abr 2021,Sul,Paraná,P.2,P.2,3
633,2021-04,Abr 2021,Sul,Rio Grande do Sul,Não VOC/VOI,Não VOC/VOI,10
634,2021-04,Abr 2021,Sul,Rio Grande do Sul,P.1 (Gama),P.1 (Gama),79
635,2021-04,Abr 2021,Sul,Rio Grande do Sul,P.1.2 (Gama),P.1.2 (Gama),10
636,2021-04,Abr 2021,Sul,Rio Grande do Sul,P.2,P.2,5
637,2021-04,Abr 2021,Sul,Santa Catarina,B.1.1.7 (Alfa),B.1.1.7 (Alfa),1
638,2021-04,Abr 2021,Sul,Santa Catarina,Não VOC/VOI,Não VOC/VOI,1
639,2021-04,Abr 2021,Sul,Santa Catarina,P.1 (Gama),P.1 (Gama),63
640,2021-04,Abr 2021,Sul,Santa Catarina,P.1.2 (Gama),P.1.2 (Gama),3
641,2021-04,Abr 2021,Sul,Santa Catarina,P.1.7,P.1.7,1
642,2021-05,Mai 2021,Centro-oeste,Distrito Federal,P.1 (Gama),P.1 (Gama),9
643,2021-05,Mai 2021,Centro-oeste,Goiás,B.1.1.7 (Alfa),B.1.1.7 (Alfa),1
644,2021-05,Mai 2021,Centro-oeste,Goiás,Não VOC/VOI,Não VOC/VOI,1
645,2021-05,Mai 2021,Centro-oeste,Goiás,P.1 (Gama),P.1 (Gama),147
646,2021-05,Mai 2021,Centro-oeste,Goiás,P.1.1 (Gama),Não VOC/VOI,2
647,2021-05,Mai 2021,Centro-oeste,Goiás,P.1.2 (Gama),P.1.2 (Gama),6
648,2021-05,Mai 2021,Centro-oeste,Goiás,P.1.7,P.1.7,26
649,2021-05,Mai 2021,Centro-oeste,Mato Grosso,P.1 (Gama),P.1 (Gama),21
650,2021-05,Mai 2021,Centro-oeste,Mato Grosso do Sul,P.1 (Gama),P.1 (Gama),1
651,2021-05,Mai 2021,Nordeste,Alagoas,P.1 (Gama),P.1 (Gama),54
652,2021-05,Mai 2021,Nordeste,Alagoas,P.1.7,P.1.7,7
653,2021-05,Mai 2021,Nordeste,Bahia,B.1.1.7 (Alfa),B.1.1.7 (Alfa),14
654,2021-05,Mai 2021,Nordeste,Bahia,Não VOC/VOI,Não VOC/VOI,1
655,2021-05,Mai 2021,Nordeste,Bahia,P.1 (Gama),P.1 (Gama),109
656,2021-05,Mai 2021,Nordeste,Bahia,P.1.2 (Gama),P.1.2 (Gama),1
657,2021-05,Mai 2021,Nordeste,Bahia,P.1.3,P.1.3,1
658,2021-05,Mai 2021,Nordeste,Bahia,P.1.7,P.1.7,3
659,2021-05,Mai 2021,Nordeste,Bahia,P.2,P.2,1
660,2021-05,Mai 2021,Nordeste,Ceará,Não VOC/VOI,Não VOC/VOI,1
661,2021-05,Mai 2021,Nordeste,Ceará,P.1 (Gama),P.1 (Gama),71
662,2021-05,Mai 2021,Nordeste,Ceará,P.1.1 (Gama),Não VOC/VOI,1
663,2021-05,Mai 2021,Nordeste,Ceará,P.1.2 (Gama),P.1.2 (Gama),2
664,2021-05,Mai 2021,Nordeste,Ceará,P.1.4,P.1.4,5
665,2021-05,Mai 2021,Nordeste,Ceará,P.1.7,P.1.7,1
666,2021-05,Mai 2021,Nordeste,Maranhão,B.1.617.2 (Delta),B.1.617.2 (Delta),5
667,2021-05,Mai 2021,Nordeste,Maranhão,P.1 (Gama),P.1 (Gama),26
668,2021-05,Mai 2021,Nordeste,Maranhão,P.1.2 (Gama),P.1.2 (Gama),6
669,2021-05,Mai 2021,Nordeste,Maranhão,P.1.7,P.1.7,13
670,2021-05,Mai 2021,Nordeste,Paraíba,P.1 (Gama),P.1 (Gama),15
671,2021-05,Mai 2021,Nordeste,Pernambuco,B.1.1.7 (Alfa),B.1.1.7 (Alfa),2
672,2021-05,Mai 2021,Nordeste,Pernambuco,Não VOC/VOI,Não VOC/VOI,1
673,2021-05,Mai 2021,Nordeste,Pernambuco,P.1 (Gama),P.1 (Gama),128
674,2021-05,Mai 2021,Nordeste,Pernambuco,P.1.1 (Gama),Não VOC/VOI,2
675,2021-05,Mai 2021,Nordeste,Pernambuco,P.1.2 (Gama),P.1.2 (Gama),2
676,2021-05,Mai 2021,Nordeste,Pernambuco,P.1.7,P.1.7,1
677,2021-05,Mai 2021,Nordeste,Rio Grande do Norte,P.1 (Gama),P.1 (Gama),14
678,2021-05,Mai 2021,Nordeste,Sergipe,Não VOC/VOI,Não VOC/VOI,1
679,2021-05,Mai 2021,Nordeste,Sergipe,P.1 (Gama),P.1 (Gama),14
680,2021-05,Mai 2021,Nordeste,Sergipe,P.1.2 (Gama),P.1.2 (Gama),1
