,Date,Período,Região,Estado,Linhagens relevantes,Quantidade
547,2020-12,Dez 2020,Norte,Pará,B.1.1.28,1
548,2020-12,Dez 2020,Norte,Pará,B.1.1.33,1
549,2020-12,Dez 2020,Norte,Pará,Outras,2
550,2020-12,Dez 2020,Norte,Pará,P.2,14
551,2020-12,Dez 2020,Norte,Tocantins,P.2,1
552,2020-12,Dez 2020,Sudeste,Espírito Santo,B.1.1.28,6
553,2020-12,Dez 2020,Sudeste,Espírito Santo,B.1.1.33,11
554,2020-12,Dez 2020,Sudeste,Espírito Santo,Outras,1
555,2020-12,Dez 2020,Sudeste,Espírito Santo,P.2,15
556,2020-12,Dez 2020,Sudeste,Minas Gerais,B.1.1.28,10
557,2020-12,Dez 2020,Sudeste,Minas Gerais,B.1.1.33,3
558,2020-12,Dez 2020,Sudeste,Minas Gerais,Outras,1
559,2020-12,Dez 2020,Sudeste,Minas Gerais,P.2,24
560,2020-12,Dez 2020,Sudeste,Rio de Janeiro,B.1.1.28,5
561,2020-12,Dez 2020,Sudeste,Rio de Janeiro,B.1.1.33,8
562,2020-12,Dez 2020,Sudeste,Rio de Janeiro,Outras,6
563,2020-12,Dez 2020,Sudeste,Rio de Janeiro,P.2,113
564,2020-12,Dez 2020,Sudeste,São Paulo,B.1.1,1
565,2020-12,Dez 2020,Sudeste,São Paulo,B.1.1.28,29
566,2020-12,Dez 2020,Sudeste,São Paulo,B.1.1.33,5
567,2020-12,Dez 2020,Sudeste,São Paulo,Outras,15
568,2020-12,Dez 2020,Sudeste,São Paulo,P.2,23
569,2020-12,Dez 2020,Sul,Paraná,B.1.1.28,12
570,2020-12,Dez 2020,Sul,Paraná,B.1.1.33,2
571,2020-12,Dez 2020,Sul,Paraná,Outras,6
572,2020-12,Dez 2020,Sul,Paraná,P.1+P.1.* (Gama),1
573,2020-12,Dez 2020,Sul,Paraná,P.2,26
574,2020-12,Dez 2020,Sul,Rio Grande do Sul,B.1.1,2
575,2020-12,Dez 2020,Sul,Rio Grande do Sul,B.1.1.28,13
576,2020-12,Dez 2020,Sul,Rio Grande do Sul,B.1.1.33,6
577,2020-12,Dez 2020,Sul,Rio Grande do Sul,Outras,12
578,2020-12,Dez 2020,Sul,Rio Grande do Sul,P.2,38
579,2020-12,Dez 2020,Sul,Santa Catarina,B.1.1.28,3
580,2020-12,Dez 2020,Sul,Santa Catarina,B.1.1.33,1
581,2020-12,Dez 2020,Sul,Santa Catarina,Outras,6
582,2020-12,Dez 2020,Sul,Santa Catarina,P.2,36
583,2021-01,Jan 2021,Centro-oeste,Distrito Federal,P.1+P.1.* (Gama),1
584,2021-01,Jan 2021,Centro-oeste,Distrito Federal,P.2,1
585,2021-01,Jan 2021,Centro-oeste,Goiás,B.1.1.28,5
586,2021-01,Jan 2021,Centro-oeste,Goiás,B.1.1.33,2
587,2021-01,Jan 2021,Centro-oeste,Goiás,B.1.1.7 (Alfa),6
588,2021-01,Jan 2021,Centro-oeste,Goiás,Outras,6
589,2021-01,Jan 2021,Centro-oeste,Goiás,P.1+P.1.* (Gama),44
590,2021-01,Jan 2021,Centro-oeste,Goiás,P.2,72
591,2021-01,Jan 2021,Centro-oeste,Mato Grosso,B.1.1.28,3
592,2021-01,Jan 2021,Centro-oeste,Mato Grosso,B.1.1.33,1
593,2021-01,Jan 2021,Centro-oeste,Mato Grosso,B.1.1.7 (Alfa),2
594,2021-01,Jan 2021,Centro-oeste,Mato Grosso,Outras,8
595,2021-01,Jan 2021,Centro-oeste,Mato Grosso,P.1+P.1.* (Gama),4
596,2021-01,Jan 2021,Centro-oeste,Mato Grosso,P.2,8
597,2021-01,Jan 2021,Centro-oeste,Mato Grosso do Sul,B.1.1.28,3
598,2021-01,Jan 2021,Centro-oeste,Mato Grosso do Sul,B.1.1.33,1
599,2021-01,Jan 2021,Centro-oeste,Mato Grosso do Sul,B.1.1.7 (Alfa),1
600,2021-01,Jan 2021,Centro-oeste,Mato Grosso do Sul,Outras,3
601,2021-01,Jan 2021,Centro-oeste,Mato Grosso do Sul,P.2,14
602,2021-01,Jan 2021,Nordeste,Alagoas,B.1.1.28,3
603,2021-01,Jan 2021,Nordeste,Alagoas,B.1.1.33,2
604,2021-01,Jan 2021,Nordeste,Alagoas,Outras,2
605,2021-01,Jan 2021,Nordeste,Alagoas,P.1+P.1.* (Gama),14
606,2021-01,Jan 2021,Nordeste,Alagoas,P.2,32
607,2021-01,Jan 2021,Nordeste,Bahia,B.1.1,1
608,2021-01,Jan 2021,Nordeste,Bahia,B.1.1.28,4
609,2021-01,Jan 2021,Nordeste,Bahia,B.1.1.33,2
610,2021-01,Jan 2021,Nordeste,Bahia,B.1.1.7 (Alfa),4
611,2021-01,Jan 2021,Nordeste,Bahia,Outras,8
612,2021-01,Jan 2021,Nordeste,Bahia,P.1+P.1.* (Gama),13
613,2021-01,Jan 2021,Nordeste,Bahia,P.2,49
614,2021-01,Jan 2021,Nordeste,Ceará,B.1.1,3
615,2021-01,Jan 2021,Nordeste,Ceará,B.1.1.28,6
616,2021-01,Jan 2021,Nordeste,Ceará,B.1.1.33,13
617,2021-01,Jan 2021,Nordeste,Ceará,Outras,8
618,2021-01,Jan 2021,Nordeste,Ceará,P.1+P.1.* (Gama),26
619,2021-01,Jan 2021,Nordeste,Ceará,P.2,49
620,2021-01,Jan 2021,Nordeste,Maranhão,B.1.1.28,2
621,2021-01,Jan 2021,Nordeste,Maranhão,B.1.1.33,1
622,2021-01,Jan 2021,Nordeste,Maranhão,Outras,23
623,2021-01,Jan 2021,Nordeste,Maranhão,P.1+P.1.* (Gama),8
624,2021-01,Jan 2021,Nordeste,Maranhão,P.2,15
625,2021-01,Jan 2021,Nordeste,Paraíba,B.1.1,3
626,2021-01,Jan 2021,Nordeste,Paraíba,B.1.1.28,2
627,2021-01,Jan 2021,Nordeste,Paraíba,B.1.1.33,1
628,2021-01,Jan 2021,Nordeste,Paraíba,Outras,6
629,2021-01,Jan 2021,Nordeste,Paraíba,P.1+P.1.* (Gama),5
630,2021-01,Jan 2021,Nordeste,Paraíba,P.2,24
631,2021-01,Jan 2021,Nordeste,Pernambuco,B.1.1,2
632,2021-01,Jan 2021,Nordeste,Pernambuco,B.1.1.28,2
633,2021-01,Jan 2021,Nordeste,Pernambuco,Outras,3
634,2021-01,Jan 2021,Nordeste,Pernambuco,P.1+P.1.* (Gama),1
635,2021-01,Jan 2021,Nordeste,Pernambuco,P.2,16
636,2021-01,Jan 2021,Nordeste,Piauí,Outras,1
637,2021-01,Jan 2021,Nordeste,Rio Grande do Norte,B.1.1,1
638,2021-01,Jan 2021,Nordeste,Rio Grande do Norte,B.1.1.28,3
639,2021-01,Jan 2021,Nordeste,Rio Grande do Norte,Outras,1
640,2021-01,Jan 2021,Nordeste,Rio Grande do Norte,P.1+P.1.* (Gama),12
641,2021-01,Jan 2021,Nordeste,Rio Grande do Norte,P.2,26
